,,Site:,10 Spots Northbound Rest Area (6am to 8pm only),,,,,,
,,,,,,,,,
,,,,,,,,,
Date,Truck ID,SpaceNum,TimeIn,TimeOut,VehType,notes,,,Vehicle Type
8/20/2016,8,15,6:41:00,,4,,,,0=Other
8/20/2016,8,15,,6:43:00,4,,,,1=truck with no trailer
8/20/2016,9,15,7:39:00,,4,,,,2=truck with vehicle trailer
8/20/2016,9,15,,7:47:30,4,,,,3=truck with flat bed trailer
8/20/2016,6,18,,7:58:30,4,,,,4=truck with closed trailer
8/20/2016,5,16,,8:12:30,4,,,,5=truck with double closed trailer
8/20/2016,3,13,,8:52:30,2,,,,6=truck with tanker trailer
8/20/2016,4,14,,9:02:00,4,,,,7=single unit truck
8/20/2016,1,11,,9:18:00,4,,,,8=RV
8/20/2016,10,16,10:30:00,,0,,,,
8/20/2016,10,16,,10:53:00,0,,,,
8/20/2016,2,12,,11:34:30,4,,,,
8/20/2016,11,17,11:40:00,,4,,,,
8/20/2016,12,19,11:48:30,,4,,,,
8/20/2016,11,17,,11:50:00,4,,,,
8/20/2016,7,20,,11:55:30,4,,,,
8/20/2016,13,14,11:58:30,,8,,,,
8/20/2016,14,12,12:00:30,,4,,,,
8/20/2016,13,14,,12:06:30,8,,,,
8/20/2016,15,14,12:08:30,,8,,,,
8/20/2016,14,12,,12:11:00,4,,,,
8/20/2016,12,19,,12:11:00,4,,,,
8/20/2016,15,14,,12:13:00,8,,,,
8/20/2016,16,14,12:55:30,,4,,,,
8/20/2016,16,14,,13:06:00,4,,,,
8/20/2016,17,13,13:10:30,,4,,,,
8/20/2016,17,13,,13:15:30,4,,,,
8/20/2016,18,12,13:22:00,,8,,,,
8/20/2016,19,18,13:23:30,,4,,,,
8/20/2016,20,16,13:24:30,,4,,,,
8/20/2016,20,16,,13:30:00,4,,,,
8/20/2016,19,18,,13:33:00,4,,,,
8/20/2016,18,12,,13:45:00,8,,,,
8/20/2016,21,13,13:57:30,,4,,,,
8/20/2016,22,19,14:06:00,,4,,,,
8/20/2016,22,19,,14:11:00,4,,,,
8/20/2016,23,11,14:13:00,,4,,,,
8/20/2016,24,16,14:23:00,,4,,,,
8/20/2016,25,12,14:29:00,,8,,,,
8/20/2016,26,18,14:32:30,,0,,,,
8/20/2016,26,18,,14:35:30,0,,,,
8/20/2016,27,19,14:38:00,,3,,,,
8/20/2016,28,14,14:39:00,,4,,,,
8/20/2016,29,18,14:40:00,,4,,,,
8/20/2016,27,19,,14:44:00,3,,,,
8/20/2016,30,15,14:44:30,,4,,,,
8/20/2016,21,13,,14:51:00,4,,,,
8/20/2016,24,16,,14:55:30,4,,,,
8/20/2016,31,19,15:11:30,,4,,,,
8/20/2016,32,16,15:22:00,,4,,,,
8/20/2016,29,18,,15:25:30,4,,,,
8/20/2016,30,15,,15:30:00,4,,,,
8/20/2016,25,12,,15:32:00,8,,,,
8/20/2016,32,16,,15:50:30,4,,,,
8/20/2016,33,17,16:33:00,,2,,,,
8/20/2016,23,11,,17:00:00,4,,,,
8/20/2016,33,17,,17:18:30,2,,,,
8/20/2016,34,11,18:01:00,,3,,,,
8/20/2016,34,11,,18:03:00,3,,,,
8/20/2016,28,14,,18:06:30,4,,,,
8/20/2016,35,13,18:19:00,,4,,,,
8/20/2016,36,11,18:28:00,,4,,,,
8/20/2016,35,13,,19:15:30,4,,,,
